date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:12:29	374302/374302	---M--	200	added ('OK')	image/png	etag:%228fbfcd5a81da1:0%22	https://startours.co.uk/Content/Images/Destinations/AdobeStock_414788353_Editorial_Use_Only_345x410_1.png	D:/demo/startours.co.uk/Content/Images/Destinations/AdobeStock_414788353_Editorial_Use_Only_345x410_1.png	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:30	135899/135899	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2020:12:25%20GMT	https://startours.co.uk/tour/09-Days-Discover-Europe	D:/demo/startours.co.uk/tour/09-Days-Discover-Europe.html	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:30	420138/420138	---M--	200	added ('OK')	image/jpeg	etag:%2261e8d7bfb0da1:0%22	https://startours.co.uk/Content/Images/Destinations/dreamstime_xl_161262963_345x410.jpg	D:/demo/startours.co.uk/Content/Images/Destinations/dreamstime_xl_161262963_345x410.jpg	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:30	37200/37200	---M--	200	added ('OK')	image/jpeg	etag:%22b31045fff93eda1:0%22	https://startours.co.uk/Content/Images/Xmas/dreamstime_xl_234879031_345x410.jpg	D:/demo/startours.co.uk/Content/Images/Xmas/dreamstime_xl_234879031_345x410.jpg	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:31	253969/253969	---M--	200	added ('OK')	image/jpeg	etag:%22a29799e9f90da1:0%22	https://startours.co.uk/Content/Images/Destinations/pARIS(33)_345x410.jpg	D:/demo/startours.co.uk/Content/Images/Destinations/pARIS(33)_345x410.jpg	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:32	318233/318233	---M--	200	added ('OK')	image/jpeg	etag:%2210541e78520da1:0%22	https://startours.co.uk/Content/Images/Destinations/dreamstime_xl_39946349_345x410.jpg	D:/demo/startours.co.uk/Content/Images/Destinations/dreamstime_xl_39946349_345x410.jpg	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:32	395786/395786	---M--	200	added ('OK')	image/png	etag:%2287aaf1cc4f0da1:0%22	https://startours.co.uk/Content/Images/Destinations/AdobeStock_134010278_345x410_2.png	D:/demo/startours.co.uk/Content/Images/Destinations/AdobeStock_134010278_345x410_2.png	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:32	142403/142403	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2020:12:28%20GMT	https://startours.co.uk/tour/12-Days-European-Delights-with-Disney	D:/demo/startours.co.uk/tour/12-Days-European-Delights-with-Disney.html	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:33	141683/141683	---MCZ	200	added ('OK')	text/html	date:Thu,%2012%20Sep%202024%2020:12:29%20GMT	https://startours.co.uk/tour/12-Days-European-Delights-without-Disney	D:/demo/startours.co.uk/tour/12-Days-European-Delights-without-Disney.html	(from https://startours.co.uk/holidays/Coach-Holidays)
02:12:33	402928/402928	---M--	200	added ('OK')	image/png	etag:%2228d21d454f0da1:0%22	https://startours.co.uk/Content/Images/Destinations/AdobeStock_91735897_345x410_1.png	D:/demo/startours.co.uk/Content/Images/Destinations/AdobeStock_91735897_345x410_1.png	(from https://startours.co.uk/holidays/Coach-Holidays)
